Date,product_percents_prediction
10/10/2018 03:00,3.521557692
10/10/2018 03:30,3.521512821
10/10/2018 04:00,3.521467949
10/10/2018 04:30,3.521423077
10/10/2018 05:00,3.521378205
10/10/2018 05:30,3.521333333
10/10/2018 06:00,3.521288462
10/10/2018 06:30,3.52124359
10/10/2018 07:00,3.521198718
10/10/2018 07:30,3.521153846
10/10/2018 08:00,3.521108974
10/10/2018 08:30,3.521064103
10/10/2018 09:00,3.521019231
10/10/2018 09:30,3.520974359
10/10/2018 10:00,3.520929487
10/10/2018 10:30,3.520884615
10/10/2018 11:00,3.520839744
10/10/2018 11:30,3.520794872
10/10/2018 12:00,3.52075
10/10/2018 12:30,3.520705128
10/10/2018 13:00,3.520660256
10/10/2018 13:30,3.520615385
10/10/2018 14:00,3.520570513
10/10/2018 14:30,3.520525641
10/10/2018 15:00,3.520480769
10/10/2018 15:30,3.520435897
10/10/2018 16:00,3.520391026
10/10/2018 16:30,3.520346154
10/10/2018 17:00,3.520301282
10/10/2018 17:30,3.52025641
10/10/2018 18:00,3.520211538
10/10/2018 18:30,3.520166667
10/10/2018 19:00,3.520121795
10/10/2018 19:30,3.520076923
10/10/2018 20:00,3.520032051
10/10/2018 20:30,3.519987179
10/10/2018 21:00,3.519942308
10/10/2018 21:30,3.519897436
10/10/2018 22:00,3.519852564
10/10/2018 22:30,3.519807692
10/10/2018 23:00,3.519762821
10/10/2018 23:30,3.519717949
11/10/2018 00:00,3.519673077
11/10/2018 00:30,3.519628205
11/10/2018 01:00,3.519583333
11/10/2018 01:30,3.519538462
11/10/2018 02:00,3.51949359
11/10/2018 02:30,3.519448718
11/10/2018 03:00,3.519403846
11/10/2018 03:30,3.519358974
11/10/2018 04:00,3.519314103
11/10/2018 04:30,3.519269231
11/10/2018 05:00,3.519224359
11/10/2018 05:30,3.519179487
11/10/2018 06:00,3.519134615
11/10/2018 06:30,3.519089744
11/10/2018 07:00,3.519044872
11/10/2018 07:30,3.519
11/10/2018 08:00,3.518955128
11/10/2018 08:30,3.518910256
11/10/2018 09:00,3.518865385
11/10/2018 09:30,3.518820513
11/10/2018 10:00,3.518775641
11/10/2018 10:30,3.518730769
11/10/2018 11:00,3.518685897
11/10/2018 11:30,3.518641026
11/10/2018 12:00,3.518596154
11/10/2018 12:30,3.518551282
11/10/2018 13:00,3.51850641
11/10/2018 13:30,3.518461538
11/10/2018 14:00,3.518416667
11/10/2018 14:30,3.518371795
11/10/2018 15:00,3.518326923
11/10/2018 15:30,3.518282051
11/10/2018 16:00,3.518237179
11/10/2018 16:30,3.518192308
11/10/2018 17:00,3.518147436
11/10/2018 17:30,3.518102564
11/10/2018 18:00,3.518057692
11/10/2018 18:30,3.518012821
11/10/2018 19:00,3.517967949
11/10/2018 19:30,3.517923077
11/10/2018 20:00,3.517878205
11/10/2018 20:30,3.517833333
11/10/2018 21:00,3.517788462
11/10/2018 21:30,3.51774359
11/10/2018 22:00,3.517698718
11/10/2018 22:30,3.517653846
11/10/2018 23:00,3.517608974
11/10/2018 23:30,3.517564103
12/10/2018 00:00,3.517519231
12/10/2018 00:30,3.517474359
12/10/2018 01:00,3.517429487
12/10/2018 01:30,3.517384615
12/10/2018 02:00,3.517339744
12/10/2018 02:30,3.517294872
12/10/2018 03:00,3.51725
12/10/2018 03:30,3.517205128
12/10/2018 04:00,3.517160256
12/10/2018 04:30,3.517115385
12/10/2018 05:00,3.517070513
12/10/2018 05:30,3.517025641
12/10/2018 06:00,3.516980769
12/10/2018 06:30,3.516935897
12/10/2018 07:00,3.516891026
12/10/2018 07:30,3.516846154
12/10/2018 08:00,3.516801282
12/10/2018 08:30,3.51675641
12/10/2018 09:00,3.516711538
12/10/2018 09:30,3.516666667
12/10/2018 10:00,3.516621795
12/10/2018 10:30,3.516576923
12/10/2018 11:00,3.516532051
12/10/2018 11:30,3.516487179
12/10/2018 12:00,3.516442308
12/10/2018 12:30,3.516397436
12/10/2018 13:00,3.516352564
12/10/2018 13:30,3.516307692
12/10/2018 14:00,3.516262821
12/10/2018 14:30,3.516217949
12/10/2018 15:00,3.516173077
12/10/2018 15:30,3.516128205
12/10/2018 16:00,3.516083333
12/10/2018 16:30,3.516038462
12/10/2018 17:00,3.51599359
12/10/2018 17:30,3.515948718
12/10/2018 18:00,3.515903846
12/10/2018 18:30,3.515858974
12/10/2018 19:00,3.515814103
12/10/2018 19:30,3.515769231
12/10/2018 20:00,3.515724359
12/10/2018 20:30,3.515679487
